Latitude,Longitude,city,clli_code,device,image,ip_address,network_code,network_type,region,zone
29.686394,-82.4023176,GSVL,GSVLFL,GSVLFLNZ12G,21.27.5 (87852),107.76.38.67,NZ,Consumer,FL,GSVNZ1
29.686394,-82.4023176,GSVL,GSVLFL,GSVLFLNZ21G,21.27.5 (87852),107.76.38.71,NZ,Consumer,FL,GSVNZ2
29.686394,-82.4023176,GSVL,GSVLFL,GSVLFLNZ22G,21.27.5 (87852),107.76.38.73,NZ,Consumer,FL,GSVNZ2
29.686394,-82.4023176,GSVL,GSVLFL,GSVLFLNZ31G,21.27.5 (87852),107.76.38.75,NZ,Consumer,FL,GSVNZ3
29.686394,-82.4023176,GSVL,GSVLFL,GSVLFLNZ32G,21.27.5 (87852),107.76.38.77,NZ,Consumer,FL,GSVNZ3
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNE11G,21.27.5 (87852),107.76.70.73,NE,Enterprise,TX,HSTNE1
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNE12G,21.27.5 (87852),107.76.70.75,NE,Enterprise,TX,HSTNE1
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ11G,21.27.5 (87852),107.76.68.99,NZ,Consumer,TX,HSTNZ1
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ12G,21.27.5 (87852),107.76.68.101,NZ,Consumer,TX,HSTNZ1
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ21G,21.27.5 (87852),107.76.68.163,NZ,Consumer,TX,HSTNZ2
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ22G,21.27.5 (87852),107.76.68.165,NZ,Consumer,TX,HSTNZ2
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ31G,21.27.5 (87852),107.76.70.63,NZ,Consumer,TX,HSTNZ3
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ32G,21.27.5 (87852),107.76.70.65,NZ,Consumer,TX,HSTNZ3
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ41G,21.27.5 (87852),107.76.70.105,NZ,Consumer,TX,HSTNZ4
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ42G,21.27.5 (87852),107.76.70.107,NZ,Consumer,TX,HSTNZ4
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ51G,21.27.5 (87852),107.76.70.115,NZ,Consumer,TX,HSTNZ5
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ52G,21.27.5 (87852),107.76.70.116,NZ,Consumer,TX,HSTNZ5
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ61G,21.27.5 (87852),107.76.84.121,NZ,Consumer,TX,HSTNZ6
29.817373200000002,-95.5664398,HSTN,HSTNTX,HSTNTXNZ62G,21.27.5 (87852),107.76.84.122,NZ,Consumer,TX,HSTNZ6
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNF11G,21.27.5 (87852),198.225.41.197,NF,FirstNet,NY,NYCNF1
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNF12G,21.27.5 (87852),198.225.41.199,NF,FirstNet,NY,NYCNF1
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNZ11G,21.27.5 (87852),107.246.100.178,NZ,Consumer,NY,NYCNZ1
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNZ12G,21.27.5 (87852),107.246.100.179,NZ,Consumer,NY,NYCNZ1
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNZ21G,21.27.5 (87852),107.246.100.150,NZ,Consumer,NY,NYCNZ2
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNZ22G,21.27.5 (87852),107.246.100.152,NZ,Consumer,NY,NYCNZ2
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNZ31G,21.27.5 (87852),107.246.100.156,NZ,Consumer,NY,NYCNZ3
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNZ32G,21.27.5 (87852),107.246.100.158,NZ,Consumer,NY,NYCNZ3
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNZ41G,21.27.5 (87852),107.246.100.182,NZ,Consumer,NY,NYCNZ4
40.69763070000001,-74.1448282,NYCM,NYCMNY,NYCMNYNZ42G,21.27.5 (87852),107.246.100.184,NZ,Consumer,NY,NYCNZ4
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANZ11G,21.27.5 (87852),107.76.8.48,NZ,Consumer,CA,VNYNZ1
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANZ12G,21.27.5 (87852),107.76.8.49,NZ,Consumer,CA,VNYNZ1
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANZ21G,21.27.5 (87852),107.76.8.64,NZ,Consumer,CA,VNYNZ2
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANZ22G,21.27.5 (87852),107.76.8.65,NZ,Consumer,CA,VNYNZ2
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANZ31G,21.27.5 (87852),107.76.8.76,NZ,Consumer,CA,VNYNZ3
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANZ32G,21.27.5 (87852),107.76.8.78,NZ,Consumer,CA,VNYNZ3
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANZ41G,21.27.5 (87852),107.76.8.86,NZ,Consumer,CA,VNYNZ4
34.2053429,-118.4898871,VNNY,VNNYCA,VNNYCANZ42G,21.27.5 (87852),107.76.8.88,NZ,Consumer,CA,VNYNZ4
